"id","code","name","country","state","air","ocean","land","active"
"freight_port_Ningbo","CN-NBO","Ningbo","China","","True","True","True","True"
"freight_port_shanghai","CN-SGH","Shanghai","China","","True","True","True","True"
"freight_port_Jabel_ali","Jbl","Jabel Ali","United Arab Emirates","","True","True","True","True"
"freight_port_Chattagram","CTG","Chattagram","Bangladesh","","True","True","False","True"
"freight_Port_Khalifa","AEKHL","Port Khalifa","United Arab Emirates","","False","True","False","True"
"freight_Port_Musaffah_Port","AEAMF","Musaffah Port","United Arab Emirates","","False","True","False","True"
"freight_Port_Mina_Rashid","AEDXB","Mina Rashid","United Arab Emirates","","False","True","False","True"
"freight_Port_Mina_Al_Hamriyah","AEHAM","Mina Al Hamriyah","United Arab Emirates","","False","True","False","True"
"freight_Port_of_Fujairah","AEFJR","Port of Fujairah","United Arab Emirates","","False","True","False","True"
"freight_Port_Khalid","AEKHL","Port Khalid","United Arab Emirates","","False","True","False","True"
"freight_Port_Hong_Kong","HK-HKG","Hong Kong","Hong Kong","","False","True","False","True"
"freight_Port_Dubai","DXB","Dubai","United Arab Emirates","","True","False","False","True"
"freight_Port_Dhaka","DAC","Dhaka","Bangladesh","","True","False","False","True"
